loc_id,company_name,loc_code,loc_name,channel,cluster,state,loc_code
1,PMJ GEMS & JEWELLERS PVT LTD,BHSHW,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,SHW,,TS,BHSHW
2,PMJ GEMS & JEWELLERS PVT LTD,HIMSHW,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,SHW,,TS,HIMSHW
3,PMJ GEMS & JEWELLERS PVT LTD,VIJSHW,PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,SHW,,AP,VIJSHW
4,PMJ GEMS & JEWELLERS PVT LTD,BHHO,PMJ&GEMS-B-C-BANJARA HILLS-HO,HO,,TS,BHHO
5,PMJ GEMS & JEWELLERS PVT LTD,MUMFG,PMJ&GEMS-B-C-MUMBAI-MANUFACTURING,HO,,MH,MUMFG
7,P MANOHARLAL JEWELLERS & EXPORTERS,HIMMFG,PMJ&EXP-B-B-HIMAYATHNAGAR-MANUFACTURING,HO,,TS,HIMMFG
8,P MANOHARLAL JEWELLERS,CHASHW,CPMJ-B-C-CHANDANAGAR-SHOWROOM,SHW,,TS,CHASHW
9,PMJ JEWELS INC,USSHW,PMJINC-B-C-UNITED STATE OF AMERICA-SHOWROOM,SHW,,USA,USSHW
10,PMJ GEMS & JEWELLERS PVT LTD,APAMM,Anantapur Mobile Marketing,D2H,Kurnool,TS,APAMM
11,PMJ GEMS & JEWELLERS PVT LTD,APBMM,Bhimavaram Mobile Marketing,D2H,Bhimavaram,AP,APBMM
12,PMJ GEMS & JEWELLERS PVT LTD,APEMM,Eluru Mobile Marketing,D2H,Bhimavaram,AP,APEMM
13,PMJ GEMS & JEWELLERS PVT LTD,APGMM,Guntur Mobile Marketeting,D2H,Guntur,AP,APGMM
14,PMJ GEMS & JEWELLERS PVT LTD,APKAMM,Kakinada Mobile Marketing,D2H,VIZAG,AP,APKAMM
15,PMJ GEMS & JEWELLERS PVT LTD,APKUMM,Kurnool Mobile Marketing,D2H,Kurnool,TS,APKUMM
16,PMJ GEMS & JEWELLERS PVT LTD,APNMM,Nellore Mobile Marketing,D2H,Guntur,AP,APNMM
17,PMJ GEMS & JEWELLERS PVT LTD,APOMM,Ongole Mobile Marketing,D2H,Guntur,AP,APOMM
18,PMJ GEMS & JEWELLERS PVT LTD,APRMM,Rajahmundry Mobile Marketing,D2H,Bhimavaram,AP,APRMM
19,PMJ GEMS & JEWELLERS PVT LTD,APTMM,Tirupathi Mobile Marketing,D2H,Tirupati,AP,APTMM
20,PMJ GEMS & JEWELLERS PVT LTD,APVMM,Vizag Mobile Marketing,D2H,VIZAG,AP,APVMM
21,PMJ GEMS & JEWELLERS PVT LTD,EMMII,Eluru Mobile Marketing II,D2H,Bhimavaram,AP,EMMII
22,PMJ GEMS & JEWELLERS PVT LTD,EXKA,Exhibition Karnataka,D2H,BLR,KA,EXKA
23,PMJ GEMS & JEWELLERS PVT LTD,TLMMM,Miryalaguda Mobile Marketing,D2H,Warangal-2,TS,TLMMM
24,PMJ GEMS & JEWELLERS PVT LTD,TLKAMM,Karimanagar Mobile Marketing,D2H,Warangal-1,TS,TLKAMM
26,PMJ GEMS & JEWELLERS PVT LTD,TLKHMM,Khammam Mobile Marketing,D2H,Warangal-2,TS,TLKHMM
27,PMJ GEMS & JEWELLERS PVT LTD,TLNMM,Nizambad Mobile Marketing,D2H,Warangal-1,TS,TLNMM
28,PMJ GEMS & JEWELLERS PVT LTD,TLWMM,Warangal Mobile Marketing,D2H,Warangal-1,TS,TLWMM
29,PMJ GEMS & JEWELLERS PVT LTD,KAMMM,Mysore Mobile Marketing,D2H,BLR,KA,KAMMM
30,PMJ GEMS & JEWELLERS PVT LTD,KABMM,Bellary Mobile Marketing,D2H,Kurnool,KA,KABMM
31,PMJ GEMS & JEWELLERS PVT LTD,TNCHMM,Chennai Mobile Marketing,D2H,Chennai,TN,TNCHMM
32,PMJ GEMS & JEWELLERS PVT LTD,TNCOMM,Coimbatore Mobile Marketing,D2H,Coimbaatore,TN,TNCOMM
33,PMJ GEMS & JEWELLERS PVT LTD,TNEMM,Erode Mobile Marketing,D2H,Coimbaatore,TN,TNEMM
34,PMJ GEMS & JEWELLERS PVT LTD,TNSMM,Salem Mobile Marketing,D2H,Coimbaatore,TN,TNSMM
35,PMJ GEMS & JEWELLERS PVT LTD,SHALIBAND,PMJ&GEMS-B-C-SHALIBANDA,D2H,,TS,SHALIBAND
36,PMJ GEMS & JEWELLERS PVT LTD,TNMM,Tamil Nadu Mobile Marketing,D2H,Chennai,TN,TNMM
37,PMJ GEMS & JEWELLERS PVT LTD,BLRMM,Bangalore Mobile Marketing,D2H,BLR,KA,BLRMM
38,PMJ GEMS & JEWELLERS PVT LTD,HNISHW,PMJ&GEMS-B-C-HNI-SHOWROOM,SHW,,TS,HNISHW
39,PMJ GEMS & JEWELLERS PVT LTD,VTZSHW,PMJ&GEMS-B-C-Vizag-SHOWROOM,SHW,,AP,VTZSHW
40,PMJ GEMS & JEWELLERS PVT LTD,AMPMM,Amalapuram Mobile Marketing,D2H,Bhimavaram,AP,AMPMM
41,PMJ GEMS & JEWELLERS PVT LTD,KMMSMG,Shimoga Mobile Marketing,D2H,BLR,KA,KMMSMG
43,PMJ GEMS & JEWELLERS PVT LTD,CRLAMM,Trichy Mobile Marketing,D2H,Coimbaatore,TN,CRLAMM
44,PMJ GEMS & JEWELLERS PVT LTD,BLIMM,Bobbili Mobile Marketing,D2H,VIZAG,AP,BLIMM
45,PMJ GEMS & JEWELLERS PVT LTD,CHITR,Chittoor Mobile Marketing,D2H,Tirupati,AP,CHITR
46,PMJ GEMS & JEWELLERS PVT LTD,DVNGMM,Davanagere Mobile Marketing,D2H,BLR,KA,DVNGMM
47,PMJ GEMS & JEWELLERS PVT LTD,GVKAMM,Tirupur Mobile Marketing,D2H,Chennai,TN,GVKAMM
48,PMJ GEMS & JEWELLERS PVT LTD,GDVDMM,Gudivada Mobile Marketing,D2H,Guntur,AP,GDVDMM
49,PMJ GEMS & JEWELLERS PVT LTD,KDPMM,Kadapa Mobile Marketing,D2H,Tirupati,AP,KDPMM
50,PMJ GEMS & JEWELLERS PVT LTD,MPTMM,Machilipatnam Mobile Marketing,D2H,Bhimavaram,AP,MPTMM
51,PMJ GEMS & JEWELLERS PVT LTD,MGLRMM,Mangalore Mobile Marketing,D2H,BLR,KA,MGLRMM
52,PMJ GEMS & JEWELLERS PVT LTD,NGMAMM,Nandigama Mobile Marketing,D2H,Guntur,AP,NGMAMM
53,PMJ GEMS & JEWELLERS PVT LTD,NDLYMM,Nandyal Mobile Marketing,D2H,Kurnool,TS,NDLYMM
54,PMJ GEMS & JEWELLERS PVT LTD,NSPTMM,Narasaraopet Mobile Marketing,D2H,Guntur,AP,NSPTMM
55,PMJ GEMS & JEWELLERS PVT LTD,EXAP,Exhibition Andhara Pradesh,D2H,Vijayawada,AP,EXAP
56,PMJ GEMS & JEWELLERS PVT LTD,SKKLMM,Srikakulam Mobile Marketing,D2H,VIZAG,AP,SKKLMM
57,PMJ GEMS & JEWELLERS PVT LTD,TNVLMM,Tirunelveli Mobile Marketing,D2H,Coimbaatore,TN,TNVLMM
58,PMJ GEMS & JEWELLERS PVT LTD,VLRMM,Vellore Mobile Marketing,D2H,Chennai,TN,VLRMM
59,PMJ GEMS & JEWELLERS PVT LTD,EXTG,Exhibition Telangana,D2H,HYD,TS,EXTG
60,PMJ GEMS & JEWELLERS PVT LTD,EXTN,Exhibition Tamil Nadu,D2H,Chennai,TN,EXTN
61,PMJ GEMS & JEWELLERS PVT LTD,VJGRMM,Vizianagaram Mobile Marketing,D2H,VIZAG,AP,VJGRMM
62,PMJ GEMS & JEWELLERS PVT LTD,HBLIMM,Hubli Mobile Marketing,D2H,BLR,KA,HBLIMM
63,PMJ GEMS & JEWELLERS PVT LTD,BLRSHW,PMJ&GEMS-B-C-BANGALORE-SHOWROOM,SHW,,KA,BLRSHW
